"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted","Date"
"2017-09-26",5897.013184,5904.954102,5859.848145,5863.961914,59271800,5863.961914,"2017-09-26"
"2017-09-27",5872.589844,5873.027832,5841.021973,5863.026855,53676700,5863.026855,"2017-09-27"
"2017-09-28",5860.549805,5866.606934,5839.59082,5841.046875,60274300,5841.046875,"2017-09-28"
"2017-09-29",5855.079102,5907.437988,5851.700195,5900.854004,50217900,5900.854004,"2017-09-29"
"2017-10-02",5917.751953,5936.138184,5909.10791,5914.029785,48741000,5914.029785,"2017-10-02"
"2017-10-03",5915.429199,5953.476074,5899.533203,5939.453125,60605100,5939.453125,"2017-10-03"
"2017-10-04",5952.378906,5967.119141,5946.643066,5951.475098,58319800,5951.475098,"2017-10-04"
"2017-10-05",5954.725098,5956.397949,5901.905762,5901.905762,56536700,5901.905762,"2017-10-05"
"2017-10-06",5922.111816,5922.748047,5894.23877,5905.37793,46067100,5905.37793,"2017-10-06"
"2017-10-09",5906.714844,5926.376953,5902.464844,5914.933105,41022200,5914.933105,"2017-10-09"
"2017-10-10",5918.128906,5927.684082,5896.458008,5905.762207,47250700,5905.762207,"2017-10-10"
"2017-10-11",5900.729004,5906.134766,5860.76123,5882.787109,47636200,5882.787109,"2017-10-11"
"2017-10-12",5886.424805,5932.006836,5883.496094,5926.204102,73889100,5926.204102,"2017-10-12"
"2017-10-13",5926.025879,5947.86377,5915.134766,5924.124023,66819100,5924.124023,"2017-10-13"
"2017-10-16",5927.98584,5956.954102,5927.98584,5949.701172,71106000,5949.701172,"2017-10-16"
"2017-10-17",5957.580078,5961.512207,5922.069824,5947.330078,51689400,5947.330078,"2017-10-17"
"2017-10-18",5955.205078,5958.000977,5903.616211,5929.201172,71998500,5929.201172,"2017-10-18"
"2017-10-19",5927.731934,5934.676758,5903.865234,5910.529785,74254100,5910.529785,"2017-10-19"
"2017-10-20",5923.078125,5959.578125,5918.532227,5929.548828,63590000,5929.548828,"2017-10-20"
"2017-10-23",5946.154785,5965.986816,5945.329102,5950.025879,77697000,5950.025879,"2017-10-23"
"2017-10-24",5955.265137,5974.200195,5949.328125,5952.076172,80765300,5952.076172,"2017-10-24"
"2017-10-25",5962.032227,6025.434082,5961.74707,6025.434082,63953500,6025.434082,"2017-10-25"
"2017-10-26",6018.270996,6042.449219,5995.847168,5995.847168,59713900,5995.847168,"2017-10-26"
"2017-10-27",5998.172852,6020.291992,5969.779785,5975.280762,48687400,5975.280762,"2017-10-27"
